Timestamp,Level,Source,Message,Exception
2025-10-23T11:28:55.0773668,Debug,Scalemon.FSM.PlateauZeroStateMachine,"→ Weighing (start), peak=15",
2025-10-23T11:28:55.0692567,Debug,Scalemon.FSM.PlateauZeroStateMachine,FSM: Переход из [IdleZero] в [Weighing],
2025-10-23T11:28:55.0603627,Information,Scalemon.FSM.PlateauZeroStateMachine,"FSM получил семпл: Вес=15, Текущее состояние=IdleZero",
2025-10-23T11:28:55.0512008,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=True, Подключено=True, Авария=False",
2025-10-23T11:28:54.9552071,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.8591947,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.7630754,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15.04, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.6513558,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15.14, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.5553763,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15.14, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.4593628,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15.04, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.3631907,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=15.04, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.2513733,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.74, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.1555921,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=14.18, Стабилен=False, Подключено=True, Авария=False",
2025-10-23T11:28:54.0595818,Debug,Scalemon.SerialLink.ScaleProcessor,"Отправляю пакет данных: Вес=12.8, Стабилен=False, Подключено=True, Авария=False",
